word,start,end,duration,sentence_idx,word_idx,layer
that,0.031,0.171,0.14,0,0,36
up,0.211,0.291,0.07999999999999999,0,1,36
or,0.331,0.391,0.06,0,2,36
anything.,0.451,0.751,0.3,0,3,36
And,3.412,3.492,0.08000000000000007,1,0,36
I,3.512,3.572,0.06000000000000005,1,1,36
remember,3.612,3.992,0.3799999999999999,1,2,36
when,4.032,4.152,0.1200000000000001,1,3,36
I,4.213,4.253,0.040000000000000036,1,4,36
kind,4.293,4.453,0.16000000000000014,1,5,36
of,4.493,4.593,0.09999999999999964,1,6,36
first,4.713,4.953,0.2400000000000002,1,7,36
got,4.993,5.173,0.17999999999999972,1,8,36
the,5.213,5.313,0.09999999999999964,1,9,36
first,5.353,5.593,0.2400000000000002,1,10,36
clue,5.693,5.973,0.28000000000000025,1,11,36
of,6.013,6.053,0.040000000000000036,1,12,36
what,6.113,6.233,0.11999999999999922,1,13,36
I,6.273,6.313,0.040000000000000036,1,14,36
might,6.373,6.573,0.20000000000000018,1,15,36
"do,",6.653,6.973,0.3200000000000003,1,16,36
I,6.993,7.014,0.020999999999999908,1,17,36
was,7.254,7.374,0.1200000000000001,1,18,36
taking,7.394,7.654,0.2599999999999998,1,19,36
a,7.694,7.714,0.020000000000000462,1,20,36
class,7.774,8.194,0.4200000000000008,1,21,36
over,8.414,8.554,0.14000000000000057,1,22,36
in,8.594,8.654,0.0600000000000005,1,23,36
the,8.674,8.754,0.08000000000000007,1,24,36
mud,8.794,8.974,0.17999999999999972,1,25,36
"building,",9.034,9.374,0.33999999999999986,1,26,36
which,10.435,10.575,0.1399999999999988,1,27,36
somebody,10.615,10.875,0.2599999999999998,1,28,36
was,10.895,10.995,0.09999999999999964,1,29,36
telling,11.015,11.255,0.2400000000000002,1,30,36
me,11.295,11.395,0.09999999999999964,1,31,36
today.,11.455,11.795,0.33999999999999986,1,32,36
Somebody,15.677,15.897,0.22000000000000064,2,0,36
was,15.917,16.017,0.09999999999999964,2,1,36
telling,16.037,16.277,0.240000000000002,2,2,36
me,16.297,16.397,0.09999999999999787,2,3,36
"today,",16.417,16.657,0.23999999999999844,2,4,36
mud,16.717,16.877,0.16000000000000014,2,5,36
is,16.917,17.017,0.09999999999999787,2,6,36
great,17.057,17.277,0.22000000000000242,2,7,36
if,17.337,17.397,0.05999999999999872,2,8,36
you,17.437,17.597,0.16000000000000014,2,9,36
like,17.617,17.817,0.1999999999999993,2,10,36
prisons,17.977,18.398,0.4209999999999994,2,11,36
and,18.458,18.558,0.10000000000000142,2,12,36
Catholic,18.618,18.998,0.38000000000000256,2,13,36
school.,19.038,19.278,0.23999999999999844,2,14,36
And,27.054,27.134,0.08000000000000185,3,0,36
I,27.174,27.214,0.03999999999999915,3,1,36
was,27.234,27.334,0.09999999999999787,3,2,36
in,27.374,27.434,0.060000000000002274,3,3,36
this,27.454,27.614,0.16000000000000014,3,4,36
class,27.655,27.955,0.29999999999999716,3,5,36
and,27.995,28.055,0.05999999999999872,3,6,36
they,28.075,28.175,0.10000000000000142,3,7,36
were,28.195,28.295,0.10000000000000142,3,8,36
talking,28.335,28.515,0.17999999999999972,3,9,36
about,28.535,28.655,0.120000000000001,3,10,36
this,28.695,28.835,0.14000000000000057,3,11,36
"guy,",28.896,29.156,0.259999999999998,3,12,36
Alan,29.256,29.496,0.23999999999999844,3,13,36
Turing.,29.536,29.896,0.35999999999999943,3,14,36
And,30.637,30.697,0.05999999999999872,4,0,36
they,30.717,30.817,0.10000000000000142,4,1,36
were,30.837,30.957,0.120000000000001,4,2,36
talking,30.997,31.298,0.3009999999999984,4,3,36
about,31.338,31.538,0.1999999999999993,4,4,36
how,31.578,31.698,0.120000000000001,4,5,36
he,31.758,31.818,0.060000000000002274,4,6,36
had,31.838,31.958,0.11999999999999744,4,7,36
proven,32.058,32.619,0.5609999999999999,4,8,36
that,33.78,34.08,0.29999999999999716,4,9,36
if,34.7,34.78,0.0799999999999983,4,10,36
you,34.82,34.981,0.16100000000000136,4,11,36
built,35.001,35.281,0.28000000000000114,4,12,36
