word,start,end,duration,sentence_idx,word_idx,layer,richness,richness_normalized,pre_gap
that,0.031,0.171,0.14,0,0,36,3.5207451790054574,0.22300930808019712,0.0
up,0.211,0.291,0.0799999999999999,0,1,36,8.405131340026855,0.5324434536646423,0.03999999999999998
or,0.331,0.391,0.06,0,2,36,5.460827827453613,0.3459168335900608,0.040000000000000036
anything.,0.451,0.751,0.3,0,3,36,5.214557647705078,0.33031520011121235,0.06
And,3.412,3.492,0.08,1,0,36,3.5207451790054574,0.22300930808019712,0.0
I,3.512,3.572,0.06,1,1,36,2.585564613342285,0.16376403349227453,0.020000000000000018
remember,3.612,3.992,0.3799999999999999,1,2,36,5.212124824523926,0.33016107663743266,0.040000000000000036
when,4.032,4.152,0.1200000000000001,1,3,36,2.7931337356567383,0.1769138893586368,0.040000000000000036
I,4.213,4.253,0.04,1,4,36,0.8684738278388977,0.05498342061950848,0.06099999999999994
kind,4.293,4.453,0.1600000000000001,1,5,36,9.178576469421387,0.5814425141157923,0.040000000000000036
of,4.493,4.593,0.0999999999999996,1,6,36,0.005988393910229206,0.0003435058935733112,0.040000000000000036
first,4.713,4.953,0.2400000000000002,1,7,36,4.267056465148926,0.27028939355147785,0.1200000000000001
got,4.993,5.173,0.1799999999999997,1,8,36,2.1246399879455566,0.13456367689953494,0.040000000000000036
the,5.213,5.313,0.0999999999999996,1,9,36,2.845877170562744,0.1802552753951405,0.040000000000000036
first,5.353,5.593,0.2400000000000002,1,10,36,5.754055023193359,0.36449327365533146,0.040000000000000036
clue,5.693,5.973,0.2800000000000002,1,11,36,5.237181663513184,0.33174846987541257,0.09999999999999964
of,6.013,6.053,0.04,1,12,36,2.8173158168792725,0.17844586520879846,0.040000000000000036
what,6.113,6.233,0.1199999999999992,1,13,36,1.050297737121582,0.06650227358504586,0.0600000000000005
I,6.273,6.313,0.04,1,14,36,2.1672050952911377,0.13726024862604966,0.040000000000000036
might,6.373,6.573,0.2000000000000001,1,15,36,5.0904951095581055,0.3224556279510704,0.0600000000000005
"do,",6.653,6.973,0.3200000000000003,1,16,36,1.8199315071105957,0.11525987795506663,0.07999999999999918
I,6.993,7.014,0.0209999999999999,1,17,36,1.3798727989196777,0.08738141259892526,0.020000000000000462
was,7.254,7.374,0.1200000000000001,1,18,36,1.166094422340393,0.07383818994606939,0.23999999999999932
taking,7.394,7.654,0.2599999999999998,1,19,36,5.980038166046143,0.37880968894681116,0.020000000000000462
a,7.694,7.714,0.0200000000000004,1,20,36,1.351359248161316,0.08557503080894668,0.040000000000000036
class,7.774,8.194,0.4200000000000008,1,21,36,3.4919471740722656,0.221184905635904,0.05999999999999961
over,8.414,8.554,0.1400000000000005,1,22,36,6.715539932250977,0.4254049730006524,0.21999999999999886
in,8.594,8.654,0.0600000000000005,1,23,36,2.3207123279571533,0.14698519211231736,0.03999999999999915
the,8.674,8.754,0.08,1,24,36,2.319664239883423,0.14691879395564003,0.019999999999999574
mud,8.794,8.974,0.1799999999999997,1,25,36,12.177871704101562,0.7714529530333987,0.040000000000000924
"building,",9.034,9.374,0.3399999999999998,1,26,36,4.206433296203613,0.26644881300219314,0.0600000000000005
which,10.435,10.575,0.1399999999999988,1,27,36,3.179365873336792,0.20138235020107134,1.061
somebody,10.615,10.875,0.2599999999999998,1,28,36,9.102527618408203,0.5766246904507153,0.040000000000000924
was,10.895,10.995,0.0999999999999996,1,29,36,3.1979775428771973,0.20256143102561677,0.019999999999999574
