word,start,end,duration,sentence_idx,word_idx,layer
So,0.031,0.191,0.16,0,0,36
I'll,0.271,0.411,0.13999999999999996,0,1,36
start,0.431,0.612,0.181,0,2,36
with,0.652,0.732,0.07999999999999996,0,3,36
this,0.752,0.892,0.14,0,4,36
a,0.932,0.952,0.019999999999999907,0,5,36
couple,0.992,1.212,0.21999999999999997,0,6,36
years,1.252,1.432,0.17999999999999994,0,7,36
ago.,1.472,1.753,0.2809999999999999,0,8,36
An,1.773,1.813,0.040000000000000036,1,0,36
event,2.173,2.433,0.2599999999999998,1,1,36
planner,2.473,2.774,0.30100000000000016,1,2,36
called,2.814,3.054,0.23999999999999977,1,3,36
me,3.074,3.154,0.08000000000000007,1,4,36
because,3.174,3.374,0.20000000000000018,1,5,36
I,3.454,3.515,0.06099999999999994,1,6,36
was,3.555,3.675,0.11999999999999966,1,7,36
going,3.715,3.875,0.16000000000000014,1,8,36
to,3.915,3.955,0.040000000000000036,1,9,36
do,3.975,4.095,0.11999999999999966,1,10,36
a,4.115,4.155,0.040000000000000036,1,11,36
speaking,4.195,4.556,0.36099999999999977,1,12,36
event,4.616,4.896,0.28000000000000025,1,13,36
and,5.076,5.176,0.10000000000000053,1,14,36
she,5.216,5.316,0.09999999999999964,1,15,36
called,5.356,5.617,0.2610000000000001,1,16,36
and,5.637,5.697,0.0600000000000005,1,17,36
she,5.777,5.877,0.09999999999999964,1,18,36
"said,",5.937,6.217,0.27999999999999936,1,19,36
I'm,7.238,7.338,0.09999999999999964,1,20,36
really,7.378,7.619,0.24099999999999966,1,21,36
struggling,7.679,8.099,0.41999999999999993,1,22,36
with,8.119,8.239,0.120000000000001,1,23,36
how,8.279,8.64,0.36100000000000065,1,24,36
to,8.7,8.8,0.10000000000000142,1,25,36
write,8.84,9.06,0.22000000000000064,1,26,36
about,9.1,9.3,0.20000000000000107,1,27,36
you,9.34,9.44,0.09999999999999964,1,28,36
on,9.501,9.561,0.0600000000000005,1,29,36
the,9.581,9.641,0.0600000000000005,1,30,36
little,9.681,9.861,0.1800000000000015,1,31,36
flyer.,9.921,10.341,0.41999999999999993,1,32,36
And,10.762,10.842,0.08000000000000007,2,0,36
I,10.902,10.962,0.0600000000000005,2,1,36
"thought,",10.982,11.202,0.22000000000000064,2,2,36
"well,",11.222,11.342,0.120000000000001,2,3,36
what's,11.362,11.563,0.2010000000000005,2,4,36
the,11.603,11.703,0.09999999999999964,2,5,36
struggle?,11.723,12.083,0.35999999999999943,2,6,36
And,12.103,12.163,0.0600000000000005,3,0,36
she,12.203,12.303,0.10000000000000142,3,1,36
"said,",12.363,12.604,0.24099999999999966,3,2,36
"well,",13.605,13.825,0.21999999999999886,3,3,36
I,13.885,13.945,0.0600000000000005,3,4,36
saw,14.005,14.225,0.21999999999999886,3,5,36
you,14.265,14.406,0.14100000000000001,3,6,36
speak,14.466,14.786,0.3200000000000003,3,7,36
and,14.846,14.926,0.08000000000000007,3,8,36
I'm,15.226,15.807,0.5809999999999995,3,9,36
going,15.847,15.947,0.09999999999999964,3,10,36
to,15.967,16.027,0.0600000000000005,3,11,36
call,16.067,16.267,0.1999999999999993,3,12,36
you,16.307,16.408,0.10100000000000264,3,13,36
a,16.448,16.488,0.03999999999999915,3,14,36
"researcher,",16.548,17.148,0.6000000000000014,3,15,36
I,17.208,17.268,0.060000000000002274,3,16,36
think.,17.328,17.589,0.26099999999999923,3,17,36
But,17.629,17.729,0.09999999999999787,4,0,36
I'm,17.749,17.869,0.120000000000001,4,1,36
afraid,17.909,18.129,0.22000000000000242,4,2,36
if,18.189,18.249,0.05999999999999872,4,3,36
I,18.289,18.37,0.08099999999999952,4,4,36
call,18.41,18.59,0.17999999999999972,4,5,36
your,18.61,18.73,0.120000000000001,4,6,36
"researcher,",18.75,19.17,0.4200000000000017,4,7,36
no,19.21,19.29,0.0799999999999983,4,8,36
one,19.371,19.451,0.08000000000000185,4,9,36
will,19.471,19.631,0.16000000000000014,4,10,36
come,19.671,19.931,0.26000000000000156,4,11,36
because,19.951,20.151,0.1999999999999993,4,12,36
they'll,20.191,20.372,0.18100000000000094,4,13,36
think,20.392,20.552,0.16000000000000014,4,14,36
you're,20.572,20.732,0.16000000000000014,4,15,36
boring,20.752,21.072,0.3200000000000003,4,16,36
and,21.112,21.172,0.060000000000002274,4,17,36
irrelevant.,21.212,21.713,0.5010000000000012,4,18,36
And,25.516,25.576,0.060000000000002274,5,0,36
she,25.616,25.736,0.120000000000001,5,1,36
"said,",25.776,25.996,0.21999999999999886,5,2,36
but,26.617,26.737,0.11999999999999744,5,3,36
the,26.837,26.937,0.10000000000000142,5,4,36
thing,26.957,27.117,0.16000000000000014,5,5,36
I,27.157,27.217,0.05999999999999872,5,6,36
liked,27.257,27.437,0.17999999999999972,5,7,36
about,27.477,27.617,0.14000000000000057,5,8,36
your,27.637,27.757,0.120000000000001,5,9,36
talk,27.797,28.058,0.26099999999999923,5,10,36
is,28.118,28.218,0.10000000000000142,5,11,36
you're,28.518,28.678,0.16000000000000014,5,12,36
a,28.698,28.738,0.03999999999999915,5,13,36
storyteller.,28.798,29.418,0.620000000000001,5,14,36
So,29.478,29.719,0.24099999999999966,6,0,36
I,29.839,29.899,0.060000000000002274,6,1,36
think,29.939,30.119,0.17999999999999972,6,2,36
what,30.199,30.319,0.11999999999999744,6,3,36
I'll,30.339,30.479,0.14000000000000057,6,4,36
do,30.499,30.619,0.120000000000001,6,5,36
is,30.679,30.739,0.060000000000002274,6,6,36
just,30.759,30.899,0.14000000000000057,6,7,36
call,30.939,31.119,0.17999999999999972,6,8,36
you,31.139,31.26,0.12100000000000222,6,9,36
a,31.3,31.34,0.03999999999999915,6,10,36
storyteller.,31.4,32.06,0.6600000000000037,6,11,36
And,33.081,33.161,0.0799999999999983,7,0,36
of,33.181,33.241,0.060000000000002274,7,1,36
"course,",33.281,33.501,0.21999999999999886,7,2,36
the,33.541,33.641,0.10000000000000142,7,3,36
academic,33.841,34.502,0.6610000000000014,7,4,36
insecure,34.882,35.382,0.5,7,5,36
part,35.422,35.622,0.20000000000000284,7,6,36
of,35.642,35.702,0.05999999999999517,7,7,36
me,35.742,35.882,0.14000000000000057,7,8,36
was,35.922,36.043,0.12100000000000222,7,9,36
"like,",36.083,36.323,0.240000000000002,7,10,36
you're,36.923,37.043,0.11999999999999744,7,11,36
going,37.063,37.163,0.09999999999999432,7,12,36
to,37.183,37.223,0.03999999999999915,7,13,36
call,37.263,37.403,0.14000000000000057,7,14,36
me,37.443,37.523,0.0800000000000054,7,15,36
a,37.564,37.584,0.020000000000003126,7,16,36
what?,37.624,37.884,0.259999999999998,7,17,36
And,38.404,38.484,0.0799999999999983,8,0,36
she,38.524,38.624,0.10000000000000142,8,1,36
"said,",38.664,38.864,0.19999999999999574,8,2,36
I'm,38.924,38.984,0.060000000000002274,8,3,36
going,39.004,39.104,0.10000000000000142,8,4,36
to,39.125,39.185,0.060000000000002274,8,5,36
call,39.225,39.405,0.17999999999999972,8,6,36
you,39.425,39.545,0.12000000000000455,8,7,36
a,39.585,39.605,0.01999999999999602,8,8,36
storyteller.,39.665,40.365,0.7000000000000028,8,9,36
And,40.465,40.545,0.0799999999999983,9,0,36
I,40.605,40.625,0.020000000000003126,9,1,36
was,40.645,40.746,0.10099999999999909,9,2,36
"like,",40.786,41.006,0.21999999999999886,9,3,36
why,42.427,42.567,0.14000000000000057,9,4,36
not,42.587,42.747,0.1599999999999966,9,5,36
magic,42.807,43.147,0.3399999999999963,9,6,36
pixie?,43.207,43.607,0.3999999999999986,9,7,36
I,45.684,45.744,0.060000000000002274,10,0,36
was,45.784,45.964,0.17999999999999972,10,1,36
"like,",46.824,47.365,0.5410000000000039,10,2,36
let,48.045,48.145,0.10000000000000142,10,3,36
me,48.185,48.245,0.05999999999999517,10,4,36
think,48.285,48.425,0.14000000000000057,10,5,36
about,48.465,48.625,0.1599999999999966,10,6,36
this,48.645,48.765,0.11999999999999744,10,7,36
for,48.785,48.885,0.10000000000000142,10,8,36
a,48.925,48.945,0.020000000000003126,10,9,36
second.,49.005,49.325,0.3200000000000003,10,10,36
And,49.385,49.465,0.0800000000000054,11,0,36
so,49.505,49.745,0.23999999999999488,11,1,36
I,50.405,50.485,0.0799999999999983,11,2,36
tried,50.525,50.705,0.17999999999999972,11,3,36
to,50.725,50.786,0.06099999999999994,11,4,36
call,50.826,51.006,0.17999999999999972,11,5,36
deep,51.046,51.226,0.17999999999999972,11,6,36
on,51.246,51.326,0.0799999999999983,11,7,36
my,51.346,51.446,0.10000000000000142,11,8,36
courage.,51.486,51.906,0.4200000000000017,11,9,36
And,52.926,53.026,0.10000000000000142,12,0,36
I,53.046,53.126,0.0799999999999983,12,1,36
"thought,",53.166,53.546,0.38000000000000256,12,2,36
I,54.547,54.587,0.04000000000000625,12,3,36
am,54.647,54.707,0.060000000000002274,12,4,36
a,54.747,54.767,0.020000000000003126,12,5,36
storyteller.,54.807,55.367,0.5599999999999952,12,6,36
I'm,56.107,56.227,0.11999999999999744,13,0,36
a,56.247,56.287,0.03999999999999915,13,1,36
qualitative,56.327,56.827,0.5,13,2,36
