word,start,end,duration,sentence_idx,word_idx,layer,richness,richness_normalized,pre_gap,word_length
So,0.031,0.191,0.16,0,0,36,3.513855314108155,0.20266219095915955,0.0,2
I'll,0.271,0.411,0.1399999999999999,0,1,36,3.1031737327575684,0.17895340213138516,0.08000000000000002,4
start,0.431,0.612,0.181,0,2,36,3.8600780963897705,0.2226497511645245,0.020000000000000018,5
with,0.652,0.732,0.0799999999999999,0,3,36,1.0535995960235596,0.06063078285323379,0.040000000000000036,4
this,0.752,0.892,0.14,0,4,36,2.959404945373535,0.17065358062757285,0.020000000000000018,4
a,0.932,0.952,0.0199999999999999,0,5,36,7.447757720947266,0.42976772884594816,0.040000000000000036,1
couple,0.992,1.212,0.2199999999999999,0,6,36,4.446078300476074,0.2564797443335011,0.040000000000000036,6
years,1.252,1.432,0.1799999999999999,0,7,36,3.904648780822754,0.22522283209417274,0.040000000000000036,5
ago.,1.472,1.753,0.2809999999999999,0,8,36,0.7579083442687988,0.04356042527104347,0.040000000000000036,4
An,1.773,1.813,0.04,1,0,36,3.513855314108155,0.20266219095915955,0.0,2
event,2.173,2.433,0.2599999999999998,1,1,36,6.190182685852051,0.3571674898868487,0.3600000000000001,5
planner,2.473,2.774,0.3010000000000001,1,2,36,6.060168743133545,0.3496617402926199,0.040000000000000036,7
called,2.814,3.054,0.2399999999999997,1,3,36,5.776931285858154,0.33331034454564235,0.040000000000000036,6
me,3.074,3.154,0.08,1,4,36,3.390594959259033,0.19554632831359417,0.020000000000000018,2
because,3.174,3.374,0.2000000000000001,1,5,36,4.816310882568359,0.2778533985332358,0.020000000000000018,7
I,3.454,3.515,0.0609999999999999,1,6,36,1.5803004503250122,0.09103740418008933,0.08000000000000007,1
was,3.555,3.675,0.1199999999999996,1,7,36,1.2859376668930054,0.07404373953071812,0.040000000000000036,3
going,3.715,3.875,0.1600000000000001,1,8,36,3.373128652572632,0.19453799242605035,0.040000000000000036,5
to,3.915,3.955,0.04,1,9,36,0.13808059692382812,0.00777755640444092,0.040000000000000036,2
do,3.975,4.095,0.1199999999999996,1,10,36,3.3966355323791504,0.19589505267574503,0.020000000000000018,2
a,4.115,4.155,0.04,1,11,36,0.6528868079185486,0.037497495885440144,0.020000000000000462,1
speaking,4.195,4.556,0.3609999999999997,1,12,36,6.0413432121276855,0.34857493591799754,0.040000000000000036,8
event,4.616,4.896,0.2800000000000002,1,13,36,1.7201939821243286,0.09911350584721076,0.05999999999999961,5
and,5.076,5.176,0.1000000000000005,1,14,36,2.444190502166748,0.14091007376067638,0.17999999999999972,3
she,5.216,5.316,0.0999999999999996,1,15,36,2.135457992553711,0.12308683988051916,0.040000000000000036,3
called,5.356,5.617,0.2610000000000001,1,16,36,5.262539386749268,0.3036143234321963,0.040000000000000036,6
and,5.637,5.697,0.0600000000000005,1,17,36,3.1499319076538086,0.18165276763723856,0.019999999999999574,3
she,5.777,5.877,0.0999999999999996,1,18,36,4.185487747192383,0.2414357621368861,0.08000000000000007,3
"said,",5.937,6.217,0.2799999999999993,1,19,36,0.5848082304000854,0.0335672962091546,0.0600000000000005,5
I'm,7.238,7.338,0.0999999999999996,1,20,36,3.361149787902832,0.1938464484519603,1.0210000000000008,3
really,7.378,7.619,0.2409999999999996,1,21,36,3.3594446182250977,0.19374800842045956,0.040000000000000036,6
struggling,7.679,8.099,0.4199999999999999,1,22,36,5.5364789962768555,0.31942895123335924,0.0600000000000005,10
with,8.119,8.239,0.120000000000001,1,23,36,0.6699144244194031,0.03848050603781037,0.019999999999999574,4
how,8.279,8.64,0.3610000000000006,1,24,36,2.733896255493164,0.15763488646159904,0.03999999999999915,3
to,8.7,8.8,0.1000000000000014,1,25,36,0.7206023931503296,0.041406739892268216,0.05999999999999872,2
write,8.84,9.06,0.2200000000000006,1,26,36,5.047456741333008,0.29119752839619,0.03999999999999915,5
about,9.1,9.3,0.200000000000001,1,27,36,4.111329078674316,0.23715455671768612,0.03999999999999915,5
you,9.34,9.44,0.0999999999999996,1,28,36,3.123015880584717,0.18009889614447497,0.03999999999999915,3
on,9.501,9.561,0.0600000000000005,1,29,36,4.1085028648376465,0.2369913984216277,0.06099999999999994,2
the,9.581,9.641,0.0600000000000005,1,30,36,1.3137519359588623,0.07564946684264826,0.019999999999999574,3
little,9.681,9.861,0.1800000000000015,1,31,36,8.096435546875,0.46721612266386214,0.03999999999999915,6
flyer.,9.921,10.341,0.4199999999999999,1,32,36,3.1810801029205322,0.1834509636544946,0.05999999999999872,6
And,10.762,10.842,0.08,2,0,36,3.513855314108155,0.20266219095915955,0.0,3
I,10.902,10.962,0.0600000000000005,2,1,36,2.585564613342285,0.1490716497840086,0.05999999999999872,1
"thought,",10.982,11.202,0.2200000000000006,2,2,36,2.4950363636016846,0.14384542281519874,0.019999999999999574,8
"well,",11.222,11.342,0.120000000000001,2,3,36,1.6629753112792969,0.09581025231533953,0.019999999999999574,5
what's,11.362,11.563,0.2010000000000005,2,4,36,2.7278223037719727,0.15728423514133716,0.019999999999999574,6
the,11.603,11.703,0.0999999999999996,2,5,36,0.6458470225334167,0.03709108665583688,0.03999999999999915,3
